,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
1756,1757,2005-09-24,Suelo,Alquiler,Tarragona,204,878424,2006-07-23,Carmen
1758,1759,2005-09-25,Casa,Venta,Tarragona,232,2133472,2006-05-18,Carmen
1760,1761,2005-09-26,Piso,Venta,Lleida,214,1689316,2006-01-17,Carmen
1790,1791,2005-10-04,Oficina,Alquiler,Girona,228,1747392,2006-05-24,Carmen
1796,1797,2005-10-06,Suelo,Alquiler,Lleida,132,882420,2006-10-06,Carmen
1798,1799,2005-10-06,Oficina,Alquiler,Lleida,289,2249576,2006-06-18,Carmen
1801,1802,2005-10-07,Oficina,Venta,Barcelona,158,909606,2006-06-19,Carmen
1809,1810,2005-10-11,Industrial,Venta,Barcelona,64,480384,2006-05-15,Carmen
1820,1821,2005-10-14,Casa,Alquiler,Girona,207,1556226,2006-06-21,Carmen
1830,1831,2005-10-17,Oficina,Venta,Tarragona,156,991224,2006-05-30,Carmen
1831,1832,2005-10-18,Piso,Alquiler,Lleida,211,1284568,2006-08-26,Carmen
1839,1840,2005-10-22,Suelo,Alquiler,Barcelona,276,1544496,2006-05-12,Carmen
1845,1846,2005-10-26,Local,Alquiler,Lleida,205,1597360,2006-10-15,Carmen
1871,1872,2005-11-05,Industrial,Alquiler,Girona,233,1644747,2006-05-05,Carmen
1873,1874,2005-11-07,Piso,Venta,Lleida,128,706560,2006-04-16,Carmen
1874,1875,2005-11-07,Oficina,Venta,Lleida,93,589155,2006-04-22,Carmen
1884,1885,2005-11-12,Suelo,Venta,Tarragona,225,1300500,2006-07-24,Carmen
1889,1890,2005-11-13,Oficina,Venta,Tarragona,251,2070750,2006-09-03,Carmen
1891,1892,2005-11-13,Industrial,Venta,Tarragona,154,1380764,2006-05-04,Carmen
1899,1900,2005-11-16,Local,Venta,Tarragona,277,1116587,2006-10-01,Carmen
1900,1901,2005-11-17,Piso,Alquiler,Tarragona,161,917378,2006-05-04,Carmen
1904,1905,2005-11-19,Local,Alquiler,Lleida,87,756900,2006-05-26,Carmen
1908,1909,2005-11-21,Parking,Alquiler,Tarragona,119,508606,2006-08-17,Carmen
1918,1919,2005-11-23,Oficina,Alquiler,Tarragona,44,363968,2006-09-02,Carmen
1923,1924,2005-11-25,Parking,Alquiler,Tarragona,295,2613405,2006-11-23,Carmen
1925,1926,2005-11-25,Suelo,Alquiler,Girona,103,557127,2006-05-08,Carmen
1933,1934,2005-11-28,Industrial,Alquiler,Tarragona,105,1021230,2006-09-17,Carmen
1934,1935,2005-11-28,Industrial,Alquiler,Tarragona,80,405280,2006-03-29,Carmen
1937,1938,2005-11-29,Local,Venta,Tarragona,154,783860,2006-05-10,Carmen
1938,1939,2005-11-29,Industrial,Alquiler,Girona,137,693631,2006-07-21,Carmen
1946,1947,2005-12-03,Piso,Alquiler,Lleida,176,1189936,2006-08-12,Carmen
1961,1962,2005-12-11,Suelo,Venta,Barcelona,238,2203166,2006-05-01,Carmen
1975,1976,2005-12-17,Local,Venta,Barcelona,165,1393095,2006-12-15,Carmen
1979,1980,2005-12-20,Local,Venta,Lleida,281,2671748,2006-12-18,Carmen
2010,2011,2005-12-28,Oficina,Venta,Lleida,259,1555813,2006-09-17,Carmen
2013,2014,2005-12-30,Oficina,Alquiler,Girona,227,2029607,2006-10-20,Carmen
2021,2022,2006-01-02,Industrial,Venta,Tarragona,129,588756,2006-09-05,Carmen
2026,2027,2006-01-03,Industrial,Venta,Girona,41,368959,2006-08-29,Carmen
2028,2029,2006-01-03,Local,Alquiler,Barcelona,179,1176209,2006-06-29,Carmen
2065,2066,2006-01-14,Local,Alquiler,Girona,165,1461570,2006-10-17,Carmen
2070,2071,2006-01-15,Oficina,Alquiler,Lleida,272,2487712,2006-04-25,Carmen
2075,2076,2006-01-17,Piso,Venta,Barcelona,267,1074675,2006-10-20,Carmen
2077,2078,2006-01-17,Oficina,Alquiler,Barcelona,123,609342,2006-05-10,Carmen
2090,2091,2006-01-23,Suelo,Venta,Lleida,171,1298403,2006-08-31,Carmen
2096,2097,2006-01-23,Local,Alquiler,Tarragona,190,1469460,2007-01-10,Carmen
2101,2102,2006-01-24,Local,Venta,Tarragona,197,1489911,2006-04-24,Carmen
2119,2120,2006-01-30,Oficina,Alquiler,Girona,75,378900,2006-12-16,Carmen
2124,2125,2006-02-01,Casa,Venta,Barcelona,95,650750,2006-09-24,Carmen
2131,2132,2006-02-03,Suelo,Alquiler,Tarragona,210,1482810,2006-11-23,Carmen
2133,2134,2006-02-03,Parking,Venta,Lleida,235,2290545,2006-08-22,Carmen
2134,2135,2006-02-04,Industrial,Alquiler,Tarragona,283,1709037,2006-07-14,Carmen
2140,2141,2006-02-06,Industrial,Alquiler,Lleida,65,272545,2006-06-23,Carmen
2141,2142,2006-02-06,Suelo,Alquiler,Tarragona,88,808192,2007-01-17,Carmen
2147,2148,2006-02-07,Oficina,Alquiler,Tarragona,206,1747292,2006-06-11,Carmen
2153,2154,2006-02-09,Oficina,Venta,Girona,200,1539800,2006-12-25,Carmen
2154,2155,2006-02-09,Industrial,Alquiler,Girona,252,1949220,2006-10-20,Carmen
2181,2182,2006-02-18,Industrial,Venta,Tarragona,126,1031058,2006-09-13,Carmen
2190,2191,2006-02-20,Casa,Alquiler,Tarragona,88,544896,2006-12-08,Carmen
2193,2194,2006-02-21,Local,Alquiler,Tarragona,154,1109262,2006-06-06,Carmen
2195,2196,2006-02-22,Oficina,Alquiler,Barcelona,64,319616,2006-07-06,Carmen
2206,2207,2006-02-28,Casa,Venta,Barcelona,281,2577332,2006-07-03,Carmen
2213,2214,2006-03-02,Industrial,Venta,Girona,249,1882440,2006-12-16,Carmen
2215,2216,2006-03-03,Casa,Alquiler,Girona,125,657500,2007-03-02,Carmen
2218,2219,2006-03-03,Oficina,Alquiler,Lleida,74,697746,2007-01-11,Carmen
2233,2234,2006-03-08,Oficina,Alquiler,Barcelona,177,1191033,2006-06-27,Carmen
2235,2236,2006-03-08,Piso,Venta,Tarragona,138,1343844,2007-01-01,Carmen
2247,2248,2006-03-13,Casa,Venta,Barcelona,143,616044,2007-01-19,Carmen
2249,2250,2006-03-14,Industrial,Alquiler,Barcelona,63,343602,2006-10-16,Carmen
2252,2253,2006-03-16,Piso,Venta,Tarragona,258,1646556,2006-11-30,Carmen
2258,2259,2006-03-19,Oficina,Alquiler,Girona,286,1413698,2007-03-15,Carmen
2262,2263,2006-03-20,Casa,Alquiler,Tarragona,220,1550780,2006-10-21,Carmen
2267,2268,2006-03-21,Parking,Alquiler,Girona,97,885998,2007-01-31,Carmen
2271,2272,2006-03-24,Local,Alquiler,Tarragona,191,926350,2006-09-22,Carmen
2276,2277,2006-03-26,Oficina,Venta,Girona,263,2034042,2006-09-08,Carmen
2279,2280,2006-03-28,Parking,Alquiler,Tarragona,290,1442460,2007-01-28,Carmen
2286,2287,2006-03-30,Suelo,Venta,Tarragona,230,1690730,2006-11-15,Carmen
2292,2293,2006-04-01,Local,Venta,Tarragona,102,828138,2006-11-12,Carmen
2304,2305,2006-04-04,Casa,Alquiler,Barcelona,180,1071720,2007-03-31,Carmen
2307,2308,2006-04-05,Local,Alquiler,Lleida,261,2598516,2006-08-29,Carmen
2313,2314,2006-04-07,Suelo,Alquiler,Barcelona,234,1475136,2006-09-18,Carmen
2315,2316,2006-04-07,Parking,Venta,Girona,181,1789185,2007-01-27,Carmen
2316,2317,2006-04-08,Parking,Venta,Tarragona,151,737635,2007-03-12,Carmen
2319,2320,2006-04-09,Oficina,Alquiler,Tarragona,113,704894,2007-01-27,Carmen
2324,2325,2006-04-10,Parking,Alquiler,Barcelona,89,711199,2006-08-21,Carmen
2326,2327,2006-04-11,Industrial,Venta,Tarragona,161,1240827,2007-03-05,Carmen
2329,2330,2006-04-12,Parking,Alquiler,Tarragona,124,1026596,2007-03-28,Carmen
2335,2336,2006-04-14,Industrial,Alquiler,Barcelona,189,1192401,2007-03-20,Carmen
2338,2339,2006-04-16,Local,Venta,Lleida,211,958151,2007-02-01,Carmen
2340,2341,2006-04-17,Piso,Venta,Girona,220,1282820,2006-11-25,Carmen
2346,2347,2006-04-21,Oficina,Venta,Girona,205,886215,2006-12-05,Carmen
2349,2350,2006-04-22,Oficina,Venta,Lleida,62,433008,2006-10-20,Carmen
2357,2358,2006-04-23,Suelo,Venta,Girona,287,1567020,2006-08-17,Carmen
2358,2359,2006-04-25,Suelo,Alquiler,Girona,193,1363352,2007-04-02,Carmen
2373,2374,2006-05-01,Piso,Venta,Lleida,239,1264310,2007-02-15,Carmen
2378,2379,2006-05-02,Piso,Venta,Barcelona,233,1220454,2007-04-18,Carmen
2382,2383,2006-05-03,Industrial,Alquiler,Girona,250,1002500,2007-01-16,Carmen
2384,2385,2006-05-03,Industrial,Alquiler,Barcelona,188,1769644,2007-02-23,Carmen
2387,2388,2006-05-05,Parking,Venta,Lleida,106,594130,2006-12-03,Carmen
2392,2393,2006-05-09,Piso,Alquiler,Tarragona,283,2072692,2006-10-02,Carmen
2393,2394,2006-05-09,Industrial,Venta,Girona,171,708795,2007-04-07,Carmen
2408,2409,2006-05-14,Suelo,Alquiler,Lleida,195,1790490,2006-12-16,Carmen
2422,2423,2006-05-20,Oficina,Alquiler,Girona,156,1294176,2006-10-05,Carmen
2431,2432,2006-05-22,Local,Alquiler,Barcelona,232,1699168,2006-08-27,Carmen
2432,2433,2006-05-22,Piso,Venta,Girona,203,1315846,2007-02-27,Carmen
2437,2438,2006-05-26,Piso,Venta,Lleida,129,818505,2006-08-30,Carmen
2444,2445,2006-05-28,Parking,Alquiler,Lleida,194,1466058,2007-01-29,Carmen
2449,2450,2006-05-29,Parking,Venta,Girona,202,1524898,2006-12-28,Carmen
2457,2458,2006-06-01,Casa,Alquiler,Tarragona,167,685368,2007-01-13,Carmen
2460,2461,2006-06-02,Parking,Alquiler,Girona,189,1342278,2006-12-16,Carmen
2463,2464,2006-06-03,Suelo,Venta,Tarragona,262,1843694,2006-12-29,Carmen
2468,2469,2006-06-04,Casa,Venta,Barcelona,260,1616680,2007-04-25,Carmen
2471,2472,2006-06-05,Oficina,Venta,Tarragona,166,1068376,2007-03-14,Carmen
2473,2474,2006-06-06,Local,Venta,Lleida,126,1199394,2006-12-08,Carmen
2476,2477,2006-06-06,Suelo,Alquiler,Lleida,217,1363411,2006-12-18,Carmen
2484,2485,2006-06-07,Industrial,Alquiler,Tarragona,270,2632500,2007-04-18,Carmen
2495,2496,2006-06-11,Piso,Venta,Barcelona,149,701492,2006-11-02,Carmen
2524,2525,2006-06-22,Casa,Alquiler,Tarragona,246,2198502,2006-11-10,Carmen
2525,2526,2006-06-23,Oficina,Alquiler,Tarragona,178,1010862,2006-11-08,Carmen
2528,2529,2006-06-24,Suelo,Alquiler,Barcelona,281,1521615,2007-04-19,Carmen
2538,2539,2006-06-30,Piso,Alquiler,Girona,68,396780,2007-02-10,Carmen
2546,2547,2006-07-01,Parking,Alquiler,Lleida,234,1182636,2006-12-04,Carmen
2548,2549,2006-07-02,Parking,Alquiler,Tarragona,147,1362984,2007-02-12,Carmen
2550,2551,2006-07-02,Suelo,Alquiler,Tarragona,187,1059916,2006-10-03,Carmen
2553,2554,2006-07-04,Industrial,Alquiler,Barcelona,275,2415325,2006-12-17,Carmen
2568,2569,2006-07-10,Local,Alquiler,Girona,50,390400,2007-01-15,Carmen
2569,2570,2006-07-10,Parking,Venta,Barcelona,93,512430,2007-04-28,Carmen
2572,2573,2006-07-11,Industrial,Venta,Lleida,138,668748,2007-01-19,Carmen
2576,2577,2006-07-13,Piso,Alquiler,Lleida,290,2702220,2007-03-16,Carmen
2590,2591,2006-07-19,Suelo,Venta,Tarragona,213,1359579,2007-02-24,Carmen
2591,2592,2006-07-19,Parking,Venta,Girona,150,1076250,2006-11-05,Carmen
2604,2605,2006-07-24,Piso,Alquiler,Lleida,163,1550456,2007-02-03,Carmen
2638,2639,2006-08-08,Parking,Venta,Girona,211,1456322,2006-11-23,Carmen
2645,2646,2006-08-11,Oficina,Alquiler,Tarragona,268,1984808,2007-03-06,Carmen
2649,2650,2006-08-11,Piso,Venta,Tarragona,275,1324125,2006-12-31,Carmen
2652,2653,2006-08-13,Parking,Venta,Barcelona,110,643060,2006-12-24,Carmen
2656,2657,2006-08-14,Oficina,Alquiler,Barcelona,192,1622400,2006-11-16,Carmen
2660,2661,2006-08-16,Oficina,Venta,Girona,81,557604,2006-12-17,Carmen
2661,2662,2006-08-17,Local,Venta,Lleida,179,954249,2006-12-21,Carmen
2668,2669,2006-08-22,Industrial,Venta,Girona,165,889350,2007-01-11,Carmen
2674,2675,2006-08-23,Piso,Venta,Barcelona,41,219145,2006-12-21,Carmen
2677,2678,2006-08-24,Casa,Venta,Tarragona,239,1793695,2006-12-16,Carmen
2712,2713,2006-09-07,Oficina,Venta,Girona,239,1994933,2007-04-09,Carmen
2713,2714,2006-09-07,Industrial,Alquiler,Girona,53,478431,2007-01-28,Carmen
2726,2727,2006-09-11,Local,Venta,Tarragona,230,1580790,2007-03-04,Carmen
2735,2736,2006-09-16,Suelo,Alquiler,Lleida,224,1956864,2007-01-28,Carmen
2744,2745,2006-09-19,Oficina,Venta,Barcelona,164,1040252,2007-01-02,Carmen
2747,2748,2006-09-20,Industrial,Venta,Tarragona,132,579348,2006-12-31,Carmen
2759,2760,2006-09-25,Piso,Alquiler,Barcelona,110,641080,2007-01-31,Carmen
2760,2761,2006-09-26,Suelo,Alquiler,Tarragona,77,375067,2007-01-10,Carmen
2773,2774,2006-10-02,Suelo,Alquiler,Girona,271,1780199,2007-03-20,Carmen
2785,2786,2006-10-07,Suelo,Venta,Tarragona,215,1015015,2007-03-03,Carmen
2788,2789,2006-10-08,Suelo,Alquiler,Girona,136,777240,2007-04-04,Carmen
2802,2803,2006-10-13,Parking,Venta,Tarragona,244,2429752,2007-01-15,Carmen
2805,2806,2006-10-13,Oficina,Alquiler,Tarragona,271,2621925,2007-02-19,Carmen
2809,2810,2006-10-15,Industrial,Alquiler,Lleida,83,695789,2007-02-18,Carmen
2812,2813,2006-10-17,Industrial,Venta,Barcelona,292,1905300,2007-03-12,Carmen
2843,2844,2006-10-29,Suelo,Alquiler,Girona,73,660577,2007-03-25,Carmen
2849,2850,2006-10-31,Parking,Venta,Barcelona,285,1638750,2007-05-04,Carmen
2854,2855,2006-11-02,Oficina,Alquiler,Lleida,47,400816,2007-03-28,Carmen
2872,2873,2006-11-07,Industrial,Venta,Barcelona,136,1262624,2007-03-27,Carmen
2875,2876,2006-11-07,Casa,Venta,Girona,129,722013,2007-03-18,Carmen
2886,2887,2006-11-10,Local,Alquiler,Girona,61,265289,2007-02-17,Carmen
3042,3043,2007-01-09,Local,Venta,Lleida,92,709596,2007-04-17,Carmen
